;;;;;;;;;;;;;;;;;;;;;
POS;NOME;POS;GP;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;REB;AST;STL;BLK;TO;DD2;TD3
122;Damian LillardPOR;PG;58;36.3;32.2;9.6;20.7;46.3;4.2;11.3;37.1;8.8;9.6;91.4;4.8;7.3;0.9;0.3;3.3;16;2
-;Willy HernangomezNO;C;38;12.1;6.9;2.3;4.4;52.7;0.1;0.3;27.3;2.1;2.7;77.9;4.7;0.9;0.4;0.3;1.0;2;0
124;Saddiq BeyATL/DET;SF;77;27.6;13.8;4.6;10.9;42.2;2.0;5.4;36.1;2.7;3.1;86.1;4.7;1.5;0.9;0.2;0.9;4;0
-;Aleksej PokusevskiOKC;F;34;20.6;8.1;3.2;7.3;43.4;1.1;3.1;36.5;0.6;1.0;62.9;4.7;1.9;0.6;1.3;1.3;3;0
-;Jericho SimsNY;C;52;15.6;3.4;1.6;2.1;77.6;0.0;0.0;0.0;0.2;0.3;75.0;4.7;0.5;0.3;0.5;0.5;2;0
127;Luguentz DortOKC;G;74;30.7;13.7;4.6;11.8;38.8;1.8;5.5;33.0;2.7;3.5;77.2;4.6;2.1;1.0;0.3;1.2;5;0
128;Pat ConnaughtonMIL;SG;61;23.7;7.6;2.7;6.9;39.2;1.8;5.3;33.9;0.4;0.7;65.9;4.6;1.3;0.6;0.2;0.5;2;0
129;Keegan MurraySAC;SF;80;29.8;12.2;4.4;9.8;45.3;2.6;6.3;41.1;0.8;1.0;76.5;4.6;1.2;0.8;0.5;0.8;4;0
130;DeMar DeRozanCHI;SF;74;36.2;24.5;8.9;17.6;50.4;0.6;1.9;32.4;6.2;7.1;87.2;4.6;5.1;1.1;0.5;2.1;6;0
131;Grant WilliamsBOS;PF;79;25.9;8.1;2.7;6.0;45.4;1.5;3.7;39.5;1.2;1.5;77.0;4.6;1.7;0.5;0.4;1.0;3;0
-;Mo BambaLAL/ORL;C;49;15.7;6.6;2.4;4.9;48.5;1.0;2.5;38.7;0.8;1.3;66.1;4.6;0.9;0.3;0.9;0.6;2;0
-;Kris DunnUTAH;G;22;25.8;13.2;5.3;9.8;53.7;0.8;1.6;47.2;1.9;2.4;77.4;4.5;5.6;1.1;0.5;1.6;3;0
-;Moritz WagnerORL;C;57;19.5;10.5;3.5;6.9;50.0;0.9;2.9;31.3;2.7;3.2;84.1;4.5;1.5;0.6;0.2;1.2;3;0
-;Devin BookerPHX;SG;53;34.6;27.8;9.9;20.1;49.4;2.1;6.0;35.1;5.8;6.8;85.5;4.5;5.5;1.0;0.3;2.7;5;0
136;Donte DiVincenzoGS;SG;72;26.3;9.4;3.3;7.5;43.5;2.1;5.3;39.7;0.8;1.0;81.7;4.5;3.5;1.3;0.1;1.6;4;0
137;Jalen WilliamsOKC;F;75;30.3;14.1;5.5;10.6;52.1;1.0;2.7;35.6;2.1;2.5;81.2;4.5;3.3;1.4;0.5;1.6;3;0
138;Jerami GrantPOR;SF;63;35.7;20.5;6.9;14.5;47.5;2.3;5.7;40.1;4.4;5.4;81.3;4.5;2.4;0.8;0.8;1.8;2;0
138;Rui HachimuraLAL/WSH;PF;63;23.3;11.2;4.5;9.3;48.6;0.8;2.5;31.9;1.4;1.9;73.9;4.5;0.9;0.3;0.4;0.8;2;0
140;Zach LaVineCHI;SG;77;35.9;24.8;8.7;18.0;48.5;2.6;7.1;37.5;4.7;5.6;84.8;4.5;4.2;0.9;0.2;2.5;2;0
141;Isaiah JacksonIND;SF;63;16.5;7.2;2.8;5.0;56.3;0.0;0.2;14.3;1.5;2.3;65.1;4.5;0.8;0.5;1.5;0.8;5;0
142;Harrison BarnesSAC;SF;82;32.5;15.0;4.6;9.6;47.3;1.6;4.3;37.4;4.3;5.0;84.7;4.5;1.6;0.7;0.1;1.0;0;0
-;Cameron JohnsonBKN/PHX;SF;42;28.6;15.5;5.3;11.3;47.0;2.5;6.1;40.4;2.4;2.9;84.2;4.4;1.9;1.2;0.3;0.9;1;0
-;Shaquille HarrisonPOR;G;5;24.0;8.8;3.0;7.2;41.7;0.6;2.0;30.0;2.2;3.0;73.3;4.4;6.0;2.2;0.4;1.2;1;0
